,0,1,2,3,4,5,Id,Label
0,100644,Alexander,Zverev,R,19970420.0,GER,100644,Alexander Zverev
1,103333,Ivo,Karlovic,R,19790228.0,CRO,103333,Ivo Karlovic
2,103499,Aqeel,Khan,R,19800130.0,PAK,103499,Aqeel Khan
3,103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK,103529,Aisam Ul Haq Qureshi
4,103565,Stephane,Robert,R,19800517.0,FRA,103565,Stephane Robert
5,103607,Victor,Estrella,R,19800802.0,DOM,103607,Victor Estrella
6,103781,Jurgen,Melzer,L,19810522.0,AUT,103781,Jurgen Melzer
7,103819,Roger,Federer,R,19810808.0,SUI,103819,Roger Federer
8,103852,Feliciano,Lopez,L,19810920.0,ESP,103852,Feliciano Lopez
9,103893,Paolo,Lorenzi,R,19811215.0,ITA,103893,Paolo Lorenzi
10,103898,Julien,Benneteau,R,19811220.0,FRA,103898,Julien Benneteau
11,103917,Nicolas,Mahut,R,19820121.0,FRA,103917,Nicolas Mahut
12,103970,David,Ferrer,R,19820402.0,ESP,103970,David Ferrer
13,103990,Tommy,Robredo,R,19820501.0,ESP,103990,Tommy Robredo
14,104022,Mikhail,Youzhny,R,19820625.0,RUS,104022,Mikhail Youzhny
15,104122,Carlos,Berlocq,R,19830203.0,ARG,104122,Carlos Berlocq
16,104180,Gilles,Muller,L,19830509.0,LUX,104180,Gilles Muller
17,104198,Guillermo,Garcia Lopez,R,19830604.0,ESP,104198,Guillermo Garcia Lopez
18,104233,Frederik,Nielsen,R,19830827.0,DEN,104233,Frederik Nielsen
19,104251,Ti,Chen,R,19831003.0,TPE,104251,Ti Chen
20,104252,Florian,Mayer,R,19831005.0,GER,104252,Florian Mayer
21,104259,Philipp,Kohlschreiber,R,19831016.0,GER,104259,Philipp Kohlschreiber
22,104269,Fernando,Verdasco,L,19831115.0,ESP,104269,Fernando Verdasco
23,104291,Malek,Jaziri,R,19840120.0,TUN,104291,Malek Jaziri
24,104297,Rogerio,Dutra Silva,R,19840203.0,BRA,104297,Rogerio Dutra Silva
25,104308,Michal,Przysiezny,R,19840216.0,POL,104308,Michal Przysiezny
