0,1,2,3,4,5
100644,Alexander,Zverev,R,19970420.0,GER
103333,Ivo,Karlovic,R,19790228.0,CRO
103499,Aqeel,Khan,R,19800130.0,PAK
103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK
103565,Stephane,Robert,R,19800517.0,FRA
103819,Roger,Federer,R,19810808.0,SUI
103852,Feliciano,Lopez,L,19810920.0,ESP
103893,Paolo,Lorenzi,R,19811215.0,ITA
104229,Yen Hsun,Lu,R,19830814.0,TPE
104233,Frederik,Nielsen,R,19830827.0,DEN
104259,Philipp,Kohlschreiber,R,19831016.0,GER
104269,Fernando,Verdasco,L,19831115.0,ESP
104291,Malek,Jaziri,R,19840120.0,TUN
104312,Andreas,Seppi,R,19840221.0,ITA
104327,Steve,Darcis,R,19840313.0,BEL
104424,Go,Soeda,R,19840905.0,JPN
104467,Lamine,Ouahab,R,19841222.0,ALG
104468,Gilles,Simon,R,19841227.0,FRA
104527,Stanislas,Wawrinka,R,19850328.0,SUI
104542,Jo Wilfried,Tsonga,R,19850417.0,FRA
104545,John,Isner,R,19850426.0,USA
104586,Lukas,Rosol,R,19850724.0,CZE
104655,Pablo,Cuevas,R,19860101.0,URU
104656,Haydn,Lewis,L,19860102.0,BAR
104660,Sergiy,Stakhovsky,R,19860106.0,UKR
104665,Pablo,Andujar,R,19860123.0,ESP
104678,Viktor,Troicki,R,19860210.0,SRB
104731,Kevin,Anderson,R,19860518.0,RSA
104745,Rafael,Nadal,L,19860603.0,ESP
104755,Richard,Gasquet,R,19860618.0,FRA
104792,Gael,Monfils,R,19860901.0,FRA
104797,Denis,Istomin,R,19860907.0,UZB
104871,Jeremy,Chardy,R,19870212.0,FRA
104882,Blaz,Kavcic,R,19870305.0,SLO
104898,Robin,Haase,R,19870406.0,NED
104901,Vladimir,Ivanov,R,19870410.0,EST
104907,Jose Rubin,Statham,R,19870425.0,NZL
104918,Andy,Murray,R,19870515.0,GBR
104919,Leonardo,Mayer,R,19870515.0,ARG
104925,Novak,Djokovic,R,19870522.0,SRB
104926,Fabio,Fognini,R,19870524.0,ITA
104999,Mischa,Zverev,L,19870822.0,GER
105011,Illya,Marchenko,R,19870908.0,UKR
105023,Sam,Querrey,R,19871007.0,USA
105030,Michael,Venus,R,19871016.0,NZL
105053,Santiago,Giraldo,R,19871127.0,COL
105062,Mikhail,Kukushkin,R,19871226.0,KAZ
105074,Ruben,Bemelmans,L,19880114.0,BEL
105077,Albert,Ramos,L,19880117.0,ESP
105138,Roberto,Bautista Agut,R,19880414.0,ESP
105147,Tatsuma,Ito,R,19880518.0,JPN
105155,Pedro,Sousa,R,19880527.0,POR
105156,Federico,Zeballos,U,19880530.0,BOL
105173,Adrian,Mannarino,L,19880629.0,FRA
105208,Ernests,Gulbis,R,19880830.0,LAT
105216,Yuichi,Sugita,R,19880918.0,JPN
105226,Attila,Balazs,R,19880927.0,HUN
105227,Marin,Cilic,R,19880928.0,CRO
105311,Joao,Sousa,R,19890330.0,POR
105332,Benoit,Paire,R,19890508.0,FRA
105334,Luis David,Martinez,U,19890512.0,VEN
105341,Thomas,Fabbiano,R,19890526.0,ITA
105349,Harri,Heliovaara,R,19890604.0,FIN
105357,John,Millman,R,19890614.0,AUS
105359,Jason,Jung,R,19890615.0,TPE
105373,Martin,Klizan,L,19890711.0,SVK
105376,Peter,Gojowczyk,R,19890715.0,GER
105379,Aljaz,Bedene,R,19890718.0,SLO
105406,Roberto,Marcora,R,19890830.0,ITA
105413,Andrej,Martin,R,19890920.0,SVK
105430,Radu,Albot,R,19891111.0,MDA
105432,Prajnesh,Gunneswaran,L,19891112.0,IND
105434,Ruan,Roelofse,R,19891118.0,RSA
105441,John Patrick,Smith,L,19891204.0,AUS
105449,Steve,Johnson,R,19891224.0,USA
105453,Kei,Nishikori,R,19891229.0,JPN
105464,Christopher,Rungkat,R,19900114.0,INA
105467,Jordi,Munoz Abreu,U,19900117.0,VEN
105477,Marco,Trungelliti,R,19900131.0,ARG
105487,Facundo,Bagnis,L,19900227.0,ARG
105497,Jose,Hernandez,U,19900313.0,DOM
105526,Jan Lennard,Struff,R,19900425.0,GER
105539,Evgeny,Donskoy,R,19900509.0,RUS
105550,Guido,Pella,L,19900517.0,ARG
105554,Daniel,Evans,R,19900523.0,GBR
105575,Ricardas,Berankis,R,19900621.0,LTU
105577,Vasek,Pospisil,R,19900623.0,CAN
105583,Dusan,Lajovic,R,19900630.0,SRB
105613,Norbert,Gombos,R,19900813.0,SVK
105614,Bradley,Klahn,L,19900820.0,USA
105633,Mohamed,Safwat,R,19900919.0,EGY
105643,Federico,Delbonis,L,19901005.0,ARG
105649,Cedrik Marcel,Stebe,L,19901009.0,GER
105656,Marcelo,Arevalo,R,19901017.0,ESA
105668,Jerzy,Janowicz,R,19901113.0,POL
105676,David,Goffin,R,19901207.0,BEL
105683,Milos,Raonic,R,19901227.0,CAN
105688,Manuel,Sanchez,R,19910105.0,MEX
105723,Andrey,Kuznetsov,R,19910222.0,RUS
105731,Steven,Diez,R,19910317.0,CAN
105732,Pierre Hugues,Herbert,R,19910318.0,FRA
105747,Karim Mohamed,Maamoun,R,19910409.0,EGY
105757,Sandro,Ehrat,R,19910418.0,SUI
105777,Grigor,Dimitrov,R,19910516.0,BUL
105806,Mirza,Basic,R,19910712.0,BIH
105807,Pablo,Carreno Busta,R,19910712.0,ESP
105812,David,Agung Susanto,U,19910721.0,INA
105815,Tennys,Sandgren,R,19910722.0,USA
105827,Laurynas,Grigelis,R,19910814.0,LTU
105841,Lorenzo,Giustino,R,19910910.0,ITA
105870,Yannick,Hanfmann,U,19911113.0,GER
105877,Emilio,Gomez,R,19911128.0,ECU
105882,Stefano,Travaglia,U,19911218.0,ITA
105899,Martin,Cuevas,R,19920114.0,URU
105902,James,Duckworth,R,19920121.0,AUS
105905,Danilo,Petrovic,R,19920124.0,SRB
105916,Marton,Fucsovics,R,19920208.0,HUN
105932,Nikoloz,Basilashvili,R,19920223.0,GEO
105933,Roberto,Quiroz,L,19920223.0,ECU
105936,Filip,Krajinovic,R,19920227.0,SRB
105943,Federico,Gaio,R,19920305.0,ITA
105948,Federico,Coria,R,19920309.0,ARG
105952,Renzo,Olivo,R,19920315.0,ARG
105967,Henri,Laaksonen,R,19920331.0,SUI
105985,Darian,King,R,19920426.0,BAR
105992,Ryan,Harrison,R,19920507.0,USA
106000,Damir,Dzumhur,R,19920520.0,BIH
106034,Yasutaka,Uchiyama,R,19920805.0,JPN
106043,Diego Sebastian,Schwartzman,R,19920816.0,ARG
106045,Denis,Kudla,R,19920817.0,USA
106058,Jack,Sock,R,19920924.0,USA
106065,Marco,Cecchinato,R,19920930.0,ITA
106071,Bernard,Tomic,R,19921021.0,AUS
106075,Jozef,Kovalik,R,19921104.0,SVK
106078,Egor,Gerasimov,R,19921111.0,BLR
106099,Salvatore,Caruso,R,19921215.0,ITA
106109,Alex,Bolt,L,19930105.0,AUS
106110,Filip,Horansky,R,19930107.0,SVK
106121,Taro,Daniel,R,19930127.0,JPN
106148,Roberto,Carballes Baena,R,19930323.0,ESP
106150,Jeson,Patrombon,R,19930327.0,PHI
106198,Hugo,Dellien,R,19930616.0,BOL
106210,Jiri,Vesely,L,19930710.0,CZE
106214,Oscar,Otte,R,19930716.0,GER
106218,Marcos,Giron,R,19930724.0,USA
106220,Dimitar,Kuzmanov,R,19930728.0,BUL
106223,Aleksandre,Metreveli,R,19930810.0,GEO
106228,Juan Ignacio,Londero,R,19930815.0,ARG
106232,Roberto,Cid,R,19930830.0,DOM
106233,Dominic,Thiem,R,19930903.0,AUT
106234,Aslan,Karatsev,R,19930904.0,RUS
106247,Nik,Razborsek,L,19931004.0,SLO
106249,Joao,Domingues,R,19931005.0,POR
106281,Liam,Broady,L,19940104.0,GBR
106283,Mitchell,Krueger,R,19940112.0,USA
106293,Kimmer,Coppejans,R,19940207.0,BEL
106296,Gregoire,Barrere,R,19940216.0,FRA
106302,Andrew,Harris,R,19940307.0,AUS
106329,Thiago,Monteiro,L,19940531.0,BRA
106331,Christopher,Oconnell,U,19940603.0,AUS
106368,Ramkumar,Ramanathan,R,19941108.0,IND
106378,Kyle,Edmund,R,19950108.0,GBR
106388,Pak Long,Yeung,U,19950214.0,HKG
106393,Frederico,Ferreira Silva,L,19950318.0,POR
106397,Wishaya,Trongcharoenchaikul,R,19950408.0,THA
106398,Pedro,Cachin,R,19950412.0,ARG
106401,Nick,Kyrgios,R,19950427.0,AUS
106408,Mario,Vilella Martinez,U,19950703.0,ESP
106415,Yoshihito,Nishioka,L,19950927.0,JPN
106421,Daniil,Medvedev,R,19960211.0,RUS
106426,Christian,Garin,R,19960530.0,CHI
106432,Borna,Coric,R,19961114.0,CRO
108739,Wilfredo,Gonzalez,R,19930106.0,GUA
108772,Julius,Tverijonas,R,19940614.0,LTU
109739,Maximilian,Marterer,L,19950615.0,GER
110602,Dennis,Novak,R,19930828.0,AUT
110686,Finn,Tearney,R,19900927.0,NZL
110748,Nikola,Milojevic,U,19950619.0,SRB
111153,Christopher,Eubanks,R,19960505.0,USA
111200,Elias,Ymer,R,19960410.0,SWE
111442,Jordan,Thompson,R,19940420.0,AUS
111453,Mikael,Torpegaard,R,19940508.0,DEN
111456,Mackenzie,Mcdonald,R,19950416.0,USA
111459,Arjun,Kadhe,R,19940107.0,IND
111460,Quentin,Halys,R,19961026.0,FRA
111505,Enzo,Couacaud,R,19950301.0,FRA
111511,Noah,Rubin,R,19960221.0,USA
111513,Laslo,Djere,R,19950602.0,SRB
111515,Thai Son,Kwiatkowski,U,19950213.0,USA
111575,Karen,Khachanov,R,19960521.0,RUS
111576,Sumit,Nagal,R,19970816.0,IND
111578,Stefan,Kozlov,R,19980201.0,USA
111581,Michael,Mmoh,R,19980110.0,USA
111761,Benjamin,Lock,R,19930304.0,ZIM
111790,Brayden,Schnur,R,19950704.0,CAN
111794,Kamil,Majchrzak,R,19960113.0,POL
111797,Nicolas,Jarry,R,19951011.0,CHI
111815,Cameron,Norrie,L,19950823.0,GBR
117356,Cem,Ilkel,R,19950821.0,TUR
117360,Marc,Polmans,U,19970502.0,AUS
120424,Yannick,Maden,U,19891028.0,GER
122078,Dmitry,Popko,R,19961024.0,KAZ
122109,Sanjar,Fayziev,U,19940729.0,UZB
122330,Alexander,Bublik,R,19970617.0,KAZ
122533,Nam Hoang,Ly,R,19970225.0,VIE
122548,Edan,Leshem,U,19970319.0,ISR
122669,Juan Pablo,Varillas Patino Samudio,R,19951006.0,PER
123755,Daniel Elahi,Galan Riveros,U,19960618.0,COL
123795,Altug,Celikbilek,U,19960907.0,TUR
124014,Ernesto,Escobedo,R,19960704.0,USA
124079,Pedro,Martinez Portero,R,19970426.0,ESP
124116,Sebastian,Ofner,R,19960512.0,AUT
124154,Sasi Kumar,Mukund,R,19970114.0,IND
124187,Reilly,Opelka,R,19970828.0,USA
125802,Ilya,Ivashka,R,19940224.0,BLR
125842,Adam,Moundir,U,19950426.0,SUI
126094,Andrey,Rublev,R,19971020.0,RUS
126120,Nino,Serdarusic,U,19961213.0,CRO
126125,Maxime,Janvier,U,19961018.0,FRA
126127,Benjamin,Bonzi,U,19960609.0,FRA
126128,Roman,Safiullin,U,19970807.0,RUS
126149,Gianluca,Mager,R,19941201.0,ITA
126156,Antonie,Hoang,R,19951104.0,FRA
126190,Nicolas,Alvarez,R,19960608.0,PER
126203,Taylor Harry,Fritz,R,19971028.0,USA
126204,Gerardo,Lopez Villasenor,U,19950512.0,MEX
126205,Tommy,Paul,R,19970517.0,USA
126207,Francis,Tiafoe,R,19980120.0,USA
126214,Alejandro,Tabilo,L,19970602.0,CHI
126239,Arthur,Rinderknech,U,19950723.0,FRA
126340,Viktor,Durasovic,U,19970319.0,NOR
126504,Andrea,Pellegrino,R,19970323.0,ITA
126535,Carlos,Taberner,R,19970808.0,ESP
126555,Tung Lin,Wu,R,19980512.0,TPE
126609,Patrik,Niklas Salminen,U,19970305.0,FIN
126610,Matteo,Berrettini,R,19960412.0,ITA
126612,Alexander,Cozbinov,R,19950428.0,MDA
126663,Juan Pablo,Ficovich,R,19970124.0,ARG
126774,Stefanos,Tsitsipas,R,19980812.0,GRE
126845,Max,Purcell,U,19980403.0,AUS
126846,Aleksandar,Vukic,R,19960406.0,AUS
126952,Soon Woo,Kwon,R,19971202.0,KOR
126964,Vitaliy,Sachko,U,19970714.0,UKR
127143,Jirat,Navasirisomboon,R,19961117.0,THA
127157,Daniel,Altmaier,U,19980912.0,GER
127326,Ben,Fatael,U,19970602.0,ISR
127339,Borna,Gojo,U,19980227.0,CRO
