0,1,2,3,4,5
100644,Alexander,Zverev,R,19970420.0,GER
101389,Oren,Motevassel,L,19670826.0,USA
101397,Yann,Drieux,R,19670914.0,FRA
101404,Thomas,Muster,L,19671002.0,AUT
101549,Rodolphe,Gilbert,L,19681212.0,FRA
101747,Michael,Zimmerman,R,19700519.0,USA
101868,Dick,Norman,L,19710301.0,BEL
101962,Younes,El Aynaoui,R,19710912.0,MAR
102033,Abdelhak,Hameurlaine,R,19720319.0,ALG
102093,Martin,Damm,R,19720801.0,CZE
102106,Davide,Sanguinetti,R,19720825.0,ITA
102148,Fabrice,Santoro,R,19721209.0,FRA
102179,Antony,Dupuis,R,19730224.0,FRA
102240,Kresimir,Ritz,R,19730628.0,CRO
102300,Gouichi,Motomura,R,19731225.0,JPN
102306,Michael,Kohlmann,R,19740111.0,GER
102318,Andrei,Pavel,R,19740127.0,ROU
102320,Lazaro,Navarro Batles,R,19740128.0,CUB
102381,Werner,Eschauer,R,19740426.0,AUT
102382,Julian,Knowle,L,19740429.0,AUT
102384,Sid Ali,Akili,U,19740502.0,ALG
102406,Thomas,Dupre,R,19740609.0,FRA
102434,Vincent,Spadea,R,19740719.0,USA
102447,Jean Francois,Berard,R,19740904.0,CAN
102486,Mark,Sibilla,R,19741123.0,FRA
102506,Quino,Munoz,R,19750104.0,ESP
102512,Joseph,Sirianni,R,19750117.0,AUS
102563,Thomas,Johansson,R,19750324.0,SWE
102567,George,Bastl,R,19750401.0,SUI
102579,Xavier,Audouy,U,19750425.0,FRA
102629,Oscar,Burrieza,R,19750722.0,ESP
102642,Cyril,Saulnier,R,19750816.0,FRA
102667,Satoshi,Iwabuchi,L,19751007.0,JPN
102678,Jonathan,Garcia Leo,U,19751101.0,ESP
102687,Herbert,Wiltschnig,R,19751121.0,AUT
102696,Guillaume,Couillard,R,19751210.0,MON
102703,Hyung Taik,Lee,R,19760103.0,KOR
102731,Seong Yoon,Chung,R,19760220.0,KOR
102738,Stefano,Tarallo,R,19760308.0,ITA
102774,Katsushi,Fukuda,R,19760414.0,JPN
102780,Frederic,Niemeyer,R,19760424.0,CAN
102783,Rainer,Schuettler,R,19760425.0,GER
102800,Nenad,Zimonjic,R,19760604.0,SRB
102811,Dusan,Vemic,R,19760617.0,SRB
102820,David,Mcnamara,R,19760626.0,AUS
102821,Cecil,Mamiit,R,19760627.0,PHI
102822,Carlos,Oliveira,R,19760630.0,BRA
102828,Roberto,Menendez,R,19760709.0,ESP
102839,Nicolas,Lapentti,R,19760813.0,ECU
102845,Carlos,Moya,R,19760827.0,ESP
102851,Giorgio,Galimberti,R,19760905.0,ITA
102860,Agustin,Calleri,R,19760914.0,ARG
102862,Allen,Belobrajdic,R,19760918.0,AUS
102863,Takao,Suzuki,R,19760920.0,JPN
102864,Frank,Moser,R,19760923.0,GER
102886,Frantisek,Cermak,R,19761114.0,CZE
102887,Ramon,Delgado,R,19761114.0,PAR
102896,Giuseppe,Menga,R,19761215.0,ITA
102905,Stefan,Koubek,L,19770102.0,AUT
102911,Andrei,Stoliarov,R,19770109.0,RUS
102934,Nicolas,Coutelot,R,19770209.0,FRA
102940,Laurent,Mazzetti,U,19770224.0,FRA
102950,Fernando,Vicente,R,19770308.0,ESP
102952,Jose Maria,Vicente,R,19770308.0,ESP
102957,Vadim,Kutsenko,R,19770316.0,RUS
102959,Marko,Tkalec,R,19770317.0,SLO
102960,Meride,Zahirovic,R,19770318.0,GER
102967,Marc,Gicquel,R,19770330.0,FRA
102982,Yaoki,Ishii,R,19770429.0,JPN
102998,Jan Michael,Gambill,R,19770603.0,USA
102999,Stefano,Galvani,R,19770603.0,ITA
103007,Mounir,El Aarej,R,19770616.0,MAR
103009,Razvan,Sabau,R,19770618.0,ROU
103017,Nicolas,Kiefer,R,19770705.0,GER
103035,Alessio,Di Mauro,L,19770809.0,ITA
103050,Shahab,Hassani Nafez,R,19770916.0,IRI
103063,Sebastien,De Chaunac,R,19771007.0,FRA
103077,Konstantinos,Economidis,R,19771102.0,GRE
103084,Guillermo,Canas,R,19771125.0,ARG
103088,Xavier,Pujo,R,19771205.0,FRA
103096,Arnaud,Clement,R,19771217.0,FRA
103101,Daouda,Ndiaye,R,19780103.0,SEN
103103,Dominik,Hrbaty,R,19780104.0,SVK
103104,Bjorn,Rehnquist,R,19780105.0,SWE
103105,Ruben,Ramirez Hidalgo,R,19780106.0,ESP
103109,Talal,Ouahabi,R,19780108.0,MAR
103110,Daniele,Bracciali,R,19780110.0,ITA
103119,Filipos,Papachristopoulos,R,19780118.0,GRE
103145,Amir,Hadad,R,19780217.0,ISR
