0,1,2,3,4,5
100644,Alexander,Zverev,R,19970420.0,GER
102093,Martin,Damm,R,19720801.0,CZE
103175,Toshihide,Matsui,R,19780419.0,JPN
103220,Oh Hee,Kwon,R,19780618.0,KOR
103333,Ivo,Karlovic,R,19790228.0,CRO
103565,Stephane,Robert,R,19800517.0,FRA
103607,Victor,Estrella,R,19800802.0,DOM
103708,Jaroslav,Pospisil,R,19810209.0,CZE
103781,Jurgen,Melzer,L,19810522.0,AUT
103819,Roger,Federer,R,19810808.0,SUI
103852,Feliciano,Lopez,L,19810920.0,ESP
103863,Mikhail,Elgin,R,19811014.0,RUS
103893,Paolo,Lorenzi,R,19811215.0,ITA
103902,Jan,Mertl,R,19820103.0,CZE
103917,Nicolas,Mahut,R,19820121.0,FRA
103926,Daniel,Munoz De La Nava,L,19820129.0,ESP
103980,Chris,Wettengel,R,19820417.0,USA
103990,Tommy,Robredo,R,19820501.0,ESP
104003,Victor,Crivoi,R,19820525.0,ROU
104070,Jesse,Witten,R,19821015.0,USA
104122,Carlos,Berlocq,R,19830203.0,ARG
104198,Guillermo,Garcia Lopez,R,19830604.0,ESP
104220,Adrian,Barbu,R,19830729.0,ROU
104229,Yen Hsun,Lu,R,19830814.0,TPE
104251,Ti,Chen,R,19831003.0,TPE
104259,Philipp,Kohlschreiber,R,19831016.0,GER
104269,Fernando,Verdasco,L,19831115.0,ESP
104291,Malek,Jaziri,R,19840120.0,TUN
104297,Rogerio,Dutra Silva,R,19840203.0,BRA
104308,Michal,Przysiezny,R,19840216.0,POL
104312,Andreas,Seppi,R,19840221.0,ITA
104327,Steve,Darcis,R,19840313.0,BEL
104386,Janko,Tipsarevic,R,19840622.0,SRB
104424,Go,Soeda,R,19840905.0,JPN
104460,Dustin,Brown,R,19841208.0,GER
104467,Lamine,Ouahab,R,19841222.0,ALG
104468,Gilles,Simon,R,19841227.0,FRA
104473,Walter,Trusendi,U,19850103.0,ITA
104505,Konstantin,Kravchuk,R,19850223.0,RUS
104510,Stefan,Seifert,L,19850228.0,GER
104523,Frederico,Gil,R,19850324.0,POR
104527,Stanislas,Wawrinka,R,19850328.0,SUI
104534,Dudi,Sela,R,19850404.0,ISR
104542,Jo Wilfried,Tsonga,R,19850417.0,FRA
104545,John,Isner,R,19850426.0,USA
104559,Teymuraz,Gabashvili,R,19850523.0,RUS
